RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Goal,SubIn,SubOut,RedCard,YellowCard,PenaltyScored,PenaltyMissed,OwnGoal
201,1098,ROU,LUCHIDE Octav (ROU),S,0,Adalbert DESU,,1,,,,,,,
206,1146,FRA,BARREAU Gaston (FRA),S,0,Emile VEINANTE,,1,,,,,,,
231,1544,TCH,VYTLACIL Rudolf (TCH),S,14,Vaclav MASEK,,1,,,,,,,
231,1470,HUN,BAROTI Lajos (HUN),S,9,Florian ALBERT,,1,,,,,,,
239,1702,PRK,MYUNG Rye Hyun (PRK),S,8,PAK Seung Zin,C,1,,,,,,,
278,2347,FRA,HIDALGO Michel (FRA),S,17,Bernard LACOMBE,,1,,,,,,,
293,878,ENG,GREENWOOD Ron (ENG),S,16,Bryan ROBSON,,1,,,,,,,
1014,8763,PAR,CARPEGIANI (BRA),S,5,AYALA,,1,,,,,,,
3489,1176,SWE,NAGY Joszef (HUN),S,0,Arne NYBERG,,1,,,,,,,
3491,1105,GER,NERZ Otto (GER),S,0,Ernest LEHNER,,1,,,,,,,
255931,300186512,USA,KLINSMANN Juergen (GER),S,8,DEMPSEY,C,1,,,,,,,
43950500,43950063,TUR,GUNES Senol (TUR),S,9,HAKAN SUKUR,C,1,,,,,,,
201,1097,USA,MILLAR Bob (USA),S,0,Bert PATENAUDE,,10,,,,,,,
208,1222,SUI,ANDREOLI Franco (SUI),S,0,Rene BADER,,10,,,,,,,
211,1304,TUR,PUPPO Sandro (ITA),S,8,Suat MAMAT,,10,,,,,,,
231,1478,URS,KACHALIN Gavril (URS),S,22,Igor CHISLENKO,,10,,,,,,,
250,1883,ITA,VALCAREGGI Ferruccio (ITA),S,13,Angelo DOMENGHINI,,10,,,,,,,
263,1948,NED,MICHELS Rinus (NED),S,14,Johan CRUYFF,C,10,,,,,,,
278,2199,HUN,BAROTI Lajos (HUN),S,13,Karoly CSAPO,,10,,,,,,,
293,903,YUG,MILJANIC Miljan (SRB),S,3,Ivan GUDELJ,,10,,,,,,,
293,770,FRG,DERWALL Jupp (GER),S,9,Horst HRUBESCH,,10,,,,,,,
429,1164,FRA,BARREAU Gaston (FRA),S,0,Oscar HEISSERER,,10,,,,,,,
1014,8738,GER,VOGTS Berti (GER),S,7,M�LLER,,10,,,,,,,
1025,8782,BRA,ZAGALLO Mario (BRA),S,20,BEBETO,,10,,,,,,,
3484,1278,FRG,HERBERGER Sepp (FRG),S,13,Max MORLOCK,,10,,,,,,,
249718,300061507,BRA,DUNGA (BRA),S,11,ROBINHO,,10,,,,,,,
249722,300061475,CMR,Paul LE GUEN (FRA),S,9,ETO'O,C,10,,,,,,,
43950100,43950041,BRA,SCOLARI Luiz Felipe (BRA),S,9,RONALDO,,10,,,,,,,
97410100,97410038,SCG,PETKOVIC Ilija (SCG),S,19,ZIGIC,,10,,,,,,,
97410200,97410050,ARG,Jos� P�KERMAN (ARG),S,9,CRESPO,,10,,,,,,,
796,3095,ROU,IORDANESCU Anghel (ROU),S,9,Florin RADUCIOIU,,101,,,,,,,
3478,1633,ENG,RAMSEY Alf (ENG),S,10,Geoff HURST,,101,,,,,,,
295,914,FRG,DERWALL Jupp (GER),N,11,Karl-Heinz RUMMENIGGE,,102,,,,,,,
309,432,BEL,THYS Guy (BEL),S,21,Stephane DEMOL,,102,,,,,,,
